fname,highway,countryside,city
data\sim0z2ipc7yyc2m3qitovu\1638437123016624.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\228160218737946.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4374266722605782.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\546577436340102.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\519507112737015.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\386095062694153.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\199691625312977.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\848316416066314.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\468597191100536.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\833092004283764.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\321745076059617.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\216968300021538.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\491585672183258.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4571986256158274.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\220611652943551.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\484523902830751.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\483948609524105.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3924529347654028.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1114284395720965.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1158229477978440.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\214358373648735.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\584640056258804.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1216577265439494.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2920927158177938.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\481848093042003.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1258520447884352.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\915986495615548.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\967869737340407.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\319460459636354.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\527982098388312.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\970311230384226.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\535260777634740.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\312253787159550.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\481496803173885.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\890115078234550.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\518364462624355.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\871015450437172.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4070635416318897.jpg, 0, 0, 1
data\sim0z2ipc7yyc2m3qitovu\471792324116759.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2898231087065340.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\896873414193613.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\494914525163362.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1113132639182404.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\531257947876260.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\518406972494072.jpg, 0, 0, 1
data\sim0z2ipc7yyc2m3qitovu\479151850058897.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\520147532452754.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\142652724472926.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\338897927589045.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\150973056947714.jpg, 0, 0, 1
data\sim0z2ipc7yyc2m3qitovu\163552485727298.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\835297204032947.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1191736984581935.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\313512300256366.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\158185372944518.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\314631860203120.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\1400608276975105.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\166794318731930.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\479203500019026.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\252733429946198.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\154924819980425.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1465816143762499.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\552779015710077.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\463338641429120.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1127998094360627.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2240822072715215.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\479683299769682.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4009749419061338.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\359885978890593.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\852398965621492.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\240461911171102.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\318048929726544.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\916694929177746.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2724277471029305.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\209148164375011.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1405000616565733.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\819712341993620.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\874931646395774.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\574762677245954.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\301808151648706.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\747801112552583.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\503504177734884.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\312158160503378.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\217223540001023.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\251745143376083.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\315709213293832.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\802056263779622.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\476923136700851.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2932129070447701.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\915044612561750.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\314269940264669.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\298868588552912.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\592553145053907.jpg, 0, 0, 1
data\sim0z2ipc7yyc2m3qitovu\520132745835428.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\475205176916889.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\226098042309848.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4074488989297815.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1698122883729065.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\481458523079934.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\247595840495451.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1420286798339386.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1168084190373158.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\833855344215719.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\498395471285229.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2012178228947693.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1116862748802999.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\182810803754652.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\769697187057008.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\540062750340752.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\766120573980848.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\526403712073799.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2668267500138351.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\331060721765992.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\905579556671084.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\213344710422576.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\171752311546412.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\238885801327838.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\495870128420465.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\149242833792809.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\182281233795454.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\1458160247862301.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\448296796619273.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\534885857890219.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\297954168640841.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\297753585364991.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\854117542120486.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\488747765769257.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\536548130671470.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2897584020465110.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\812541596335835.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\469242274147649.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\841912689761057.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3176907995864471.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3943649725748091.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\857817428423145.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\954006785371620.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\380519413351788.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1124305224728814.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4072526126174187.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\537030504347072.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\158017456293120.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\319480153041142.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\221045266493942.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\187726923235416.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\482033166191278.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\219973889685411.jpg, 0, 0, 1
data\sim0z2ipc7yyc2m3qitovu\918305945394380.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\939669900160937.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\191121532881581.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\390931175446465.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\241642564391654.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\323480919183432.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\825055031436369.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\589905475248286.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2876698262648012.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\624240528536238.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\163100259103988.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\531666424662036.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\311747493816125.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\768892137124529.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\228064282087100.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\814035342830510.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\854900151903002.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2972059129744062.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\985511148938902.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\845131032749083.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\337408414408756.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\952407105508886.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\890786818145191.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\393873448451218.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2952220488355169.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\436004170839383.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\2952953841698223.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\341038777443268.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1347530452296447.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\815572029395879.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\191585312831141.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\224066465896606.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\145612484271527.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1654771968052700.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\525829521912311.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\151317100309710.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4222146027807733.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\468299677606091.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\3928534560566080.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\552905872380783.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\211385750646605.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\4301177983234873.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\492490518742071.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1226343074469582.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\475528057086504.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\749442075721546.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\504364330770116.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\1403208130048680.jpg, 1, 0, 0
data\sim0z2ipc7yyc2m3qitovu\3951047281610611.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\812036676401358.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\385320646096227.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\742099856460716.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\301893488278561.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\890112428206652.jpg, 0, 1, 0
data\sim0z2ipc7yyc2m3qitovu\838374890408170.jpg, 0, 1, 0
